"","x"
"366",246.941561666667
"367",214.563866666667
"368",227.291908333334
"369",307.409492222222
"370",649.568158333335
"371",671.563966666667
"372",337.212558333334
"373",218.517788333334
"374",220.677537777778
"375",169.689429444445
"376",262.492627539683
"377",706.997041666668
"378",497.922686666668
"379",294.38791
"380",205.482841111111
"381",224.307834444445
"382",220.113242222222
"383",189.56224563492
"384",254.517838333333
"385",223.456145
"386",122.484681666667
"387",109.18184
"388",134.106322777778
"389",154.564356111111
"390",181.58797
"391",468.9691
"392",618.349531666668
"393",262.727345
"394",258.376933333334
"395",442.329215873015
"396",417.425982777777
"397",350.891754206349
"398",737.077491666668
"399",751.659603333335
"400",191.097596111111
"401",183.139852777777
"402",289.324356111111
"403",190.8432
"404",215.882910555556
"405",500.948553333335
"406",346.158230000001
"407",196.433802301587
"408",198.839948968254
"409",208.478337777778
"410",219.218659444444
"411",180.306356111111
"412",493.030648333334
"413",588.327895
"414",341.034158333333
"415",241.791653333333
"416",247.66727
"417",420.138482539682
"418",383.608704444443
"419",844.510203333336
"420",780.308468333335
"421",262.832221111111
"422",382.35636
"423",288.525012777777
"424",212.088199444444
"425",345.962372777777
"426",713.195965
"427",683.386504999999
"428",316.576718333334
"429",280.41005
"430",292.307294999999
"431",476.905856428571
"432",413.02004
"433",953.265356666669
"434",865.130366666669
"435",463.413246666667
"436",410.811553333333
"437",399.247456666666
"438",409.096461666668
"439",531.614125793652
"440",1045.52977
"441",1511.04124
"442",583.309393333333
"443",605.498039126985
"444",568.395502460319
"445",572.890016666666
"446",569.253729126986
"447",1834.28354833334
"448",1562.90671333333
"449",552.106059999998
"450",554.013005000001
"451",592.681066666666
"452",613.813249999999
"453",609.953803333333
"454",1338.07167166667
"455",764.553453333335
"456",465.982445
"457",477.839011666667
"458",426.748515000002
"459",485.054556666669
"460",525.596648333333
"461",730.089606666668
"462",828.837265000001
"463",495.801051666668
"464",551.269440000001
"465",621.418238333333
"466",582.330731666667
"467",513.575849761907
"468",840.752718095238
