"","V1"
"366",342.561354915501
"367",326.747971233011
"368",271.100607131046
"369",312.325624621041
"370",739.255484115971
"371",704.744142749544
"372",321.150544158443
"373",261.009455800763
"374",302.76260851573
"375",257.186725943231
"376",256.97550524998
"377",778.920181227484
"378",753.193353077894
"379",619.390148366916
"380",231.341643481577
"381",196.814315273955
"382",235.652883143661
"383",236.791449366633
"384",479.218966228709
"385",471.125964638388
"386",170.649404588594
"387",166.354325954004
"388",198.013182574871
"389",216.625599683604
"390",197.780842368868
"391",522.147850724006
"392",633.284105037126
"393",313.22623833368
"394",343.681049602407
"395",342.045190869816
"396",332.229234606566
"397",265.014954494753
"398",765.327629820826
"399",672.250882107693
"400",237.077668291248
"401",268.043258637582
"402",274.00395327246
"403",218.758671949491
"404",250.737205837728
"405",524.534588095842
"406",438.708072676041
"407",230.225124482109
"408",214.645045027072
"409",171.045438624938
"410",204.044625404369
"411",169.466885960568
"412",493.030394427016
"413",510.54665090915
"414",622.40147611788
"415",339.298967603671
"416",375.097105593169
"417",377.61122975441
"418",400.610394251188
"419",941.116937867736
"420",1036.32348664828
"421",331.63657921854
"422",322.982535944079
"423",302.602094031772
"424",255.780893295409
"425",281.96918105858
"426",564.728674661289
"427",564.728674661289
"428",317.6695586556
"429",334.010581744349
"430",329.777644924611
"431",329.103067374391
"432",360.776205558135
"433",796.912820056426
"434",948.787831066106
"435",394.38180454312
"436",483.255173581153
"437",543.51340071298
"438",593.896024932357
"439",644.659145151847
"440",1459.17900895181
"441",1475.88185503071
"442",773.906687148554
"443",886.086668290193
"444",894.11597524135
"445",830.67384925657
"446",916.302909739332
"447",1911.8987584358
"448",2047.29722110625
"449",844.095924439076
"450",886.705914197185
"451",876.043352654772
"452",844.817398893919
"453",815.941773665584
"454",1639.64426580755
"455",1376.33168025088
"456",671.137991346445
"457",809.910435677415
"458",836.949747941471
"459",885.861243825346
"460",906.922477634992
"461",1983.48319379776
"462",2057.48793477585
"463",1013.80757918483
"464",1009.08021712658
"465",996.569509883907
"466",973.702826988666
"467",947.101060518832
"468",1976.04531123308
"469",1928.30648943322
"470",1884.95034919641
"471",899.921313530462
"472",915.521405994373
"473",845.501400190806
"474",917.342381031714
"475",1985.32270898734
"476",931.148382905089
"477",839.32113669379
"479",751.12428064984
"480",697.414219396185
"481",589.976818270389
"482",1553.0975859034
"483",1469.62808440772
"484",675.875675543192
"485",570.112517515705
"486",609.299598813952
"487",700.28837282618
"488",621.231745062658
"489",1636.85513038092
"490",1538.06955913344
"491",747.1636304015
"492",740.964708709256
"493",763.204883130196
"494",768.556166500531
"495",845.689634795448
"496",1879.56500115897
"497",1904.02218662554
"498",883.599812690502
"499",806.193299357451
"500",766.171599233326
"501",839.167230723223
"502",861.986280075552
"503",1901.24650650711
"504",1920.25664000287
"505",928.236485030923
"506",875.956281057786
"507",889.530371637082
"508",898.408508568816
"509",966.003190510511
"510",2033.2253149477
"511",2025.76470214995
"512",1983.48319379776
"513",953.839383049592
"514",1035.10604353126
"515",961.031795302607
"516",1036.63121899764
"517",2076.91770810246
